Test Number,Download Speed (Mbit/s),Upload Speed (Mbit/s),Server
446,-1,-1,-1
447,-1,-1,-1
448,-1,-1,-1
449,-1,-1,-1
450,-1,-1,-1
451,-1,-1,-1
452,-1,-1,-1
453,-1,-1,-1
454,-1,-1,-1
455,-1,-1,-1
456,-1,-1,-1
457,-1,-1,-1
458,-1,-1,-1
459,-1,-1,-1
460,-1,-1,-1
461,-1,-1,-1
462,-1,-1,-1
463,-1,-1,-1
464,-1,-1,-1
465,-1,-1,-1
466,-1,-1,-1
467,-1,-1,-1
468,-1,-1,-1
469,-1,-1,-1
470,-1,-1,-1
471,53.56,35.48,speedtest.citycom-austria.com:8080
472,47.59,35.22,speedtest.power-speed.at:8080
473,49.39,34.41,speedtest.citycom-austria.com:8080
474,52.62,34.67,speedtest.citycom-austria.com:8080
475,41.79,30.87,speedtest.power-speed.at:8080
476,49.22,31.52,speedtest.citycom-austria.com:8080
477,36.34,26.68,speedtest.citycom-austria.com:8080
478,43.5,19.91,speedtest.citycom-austria.com:8080
479,38.03,24.35,speedtest.citycom-austria.com:8080
480,32.82,18.34,speedtest.t-2.net:8080
481,49.71,19.39,speedtest.citycom-austria.com:8080
482,37.77,25.64,speedtest.t-2.net:8080
483,33.6,9.09,speedtest.power-speed.at:8080
484,12.09,1.05,speedtest.power-speed.at:8080
485,-1,-1,-1
486,-1,-1,-1
487,0.0,0.0,speedtest.bostjan.eu:8080
488,-1,-1,-1
489,-1,-1,-1
490,-1,-1,-1
491,-1,-1,-1
492,-1,-1,-1
493,-1,-1,-1
494,-1,-1,-1
495,0.0,0.0,speedtest.bostjan.eu:8080
496,35.83,22.6,speedtest.t-2.net:8080
497,39.52,26.11,ookla1.pilsfree.net:8080
498,35.58,24.46,ookla1.pilsfree.net:8080
499,35.72,26.95,ookla.bnet-internet.cz:8080
500,35.94,24.91,ookla1.pilsfree.net:8080
501,39.27,28.83,ookla1.pilsfree.net:8080
502,42.27,28.04,speedtest.forpsi.net:8080
503,32.1,25.35,speedtest.forpsi.net:8080
504,40.55,7.77,breitbandmessung.telepark-passau.de:8080
505,30.63,24.54,ookla.bnet-internet.cz:8080
506,42.85,27.26,speedtest.forpsi.net:8080
507,31.95,28.27,ookla.bnet-internet.cz:8080
508,39.19,23.65,speedtest.forpsi.net:8080
509,33.81,26.72,ookla.bnet-internet.cz:8080
510,41.43,28.2,ookla1.pilsfree.net:8080
511,35.18,25.4,ookla.bnet-internet.cz:8080
512,31.17,21.5,ookla.bnet-internet.cz:8080
513,35.86,19.75,ookla1.pilsfree.net:8080
514,32.26,28.08,ookla.bnet-internet.cz:8080
515,39.61,29.87,speedtest.forpsi.net:8080
516,36.16,23.8,ookla1.pilsfree.net:8080
517,39.58,11.06,breitbandmessung.telepark-passau.de:8080
518,33.74,23.25,ookla.bnet-internet.cz:8080
519,37.56,21.79,speedtest.forpsi.net:8080
520,41.2,5.94,breitbandmessung.telepark-passau.de:8080
521,33.75,28.76,ookla.bnet-internet.cz:8080
522,36.83,23.01,ookla.bnet-internet.cz:8080
523,36.56,25.87,ookla.bnet-internet.cz:8080
524,38.82,28.1,ookla1.pilsfree.net:8080
525,40.89,24.29,ookla1.pilsfree.net:8080
526,42.09,4.41,breitbandmessung.telepark-passau.de:8080
527,41.66,25.4,speedtest.forpsi.net:8080
528,34.18,26.81,ookla.bnet-internet.cz:8080
529,33.49,29.67,ookla.bnet-internet.cz:8080
530,33.44,24.12,ookla.bnet-internet.cz:8080
531,44.0,29.48,speedtest.forpsi.net:8080
532,38.49,35.71,ookla.bnet-internet.cz:8080
533,44.03,34.77,ookla.bnet-internet.cz:8080
